Android Appstore	-804.8138101686415
Appliances	-908.8810605059264
Arts Crafts Sewing	-842.2659242227538
Automotive	-824.4026481925856
Baby	-847.6214333663312
Bag	-876.9217665376658
Beauty	-834.7803704852479
Bike	-859.4327086475458
Books	-897.9648927561701
Cable	-836.0509841322961
Care	-790.3401713734006
Clothing	-829.8682730612622
Conditioner	-808.8412439789579
Diaper	-876.9883893989607
Dining	-883.0832613480525
Dumbbell	-911.757303586359
Flashlight	-904.024969553402
Food	-842.8452516759274
Gloves	-839.1959714393612
Golf	-842.0982951390545
Home Improvement	-814.6669801651371
Industrial Scientific	-789.5564984228811
Jewelry	-844.3614108823201
Kindle Store	-865.878842478718
Kitchen	-866.2216889600242
Knife	-881.6136159595809
Luggage	-841.485173371845
Magazine Subscriptions	-878.8430595507187
Mat	-848.3782642816575
Mattress	-880.1741466071355
Movies TV	-874.4929656421662
Music	-934.6884885535611
Musical Instruments	-863.0698823097032
Office Products	-851.1163801705345
Patio Lawn Garden	-871.3132446897156
Pet Supplies	-806.4128160820286
Pillow	-888.6155947023414
Sandal	-846.8667131197107
Scooter	-869.538329959522
Shoes	-848.9249108523787
Software	-937.6043116628156
Sports	-832.5985196750327
Table Chair	-883.2252438508441
Tent	-898.6809040605852
Tire	-871.2314031173312
Toys	-851.3849173710721
Video Games	-958.7594043940444
Vitamin Supplement	-892.1028142488055
Wall Clock	-854.9976048732359
Water Filter	-905.4730791963349
average : -862.2891187756337
